name,offset,size,shape,dtype
model.decoder.layers.20.fc1.weight,38753996800,104857600,10240x2560,torch.float32
model.decoder.layers.20.fc1.bias,38858854400,40960,10240,torch.float32
model.decoder.layers.20.fc2.weight,38858895360,104857600,2560x10240,torch.float32
model.decoder.layers.20.fc2.bias,38963752960,10240,2560,torch.float32
model.decoder.layers.20.final_layer_norm.weight,38963763200,10240,2560,torch.float32
model.decoder.layers.20.final_layer_norm.bias,38963773440,10240,2560,torch.float32
model.decoder.layers.21.self_attn.k_proj.weight,38963783680,26214400,2560x2560,torch.float32
model.decoder.layers.21.self_attn.k_proj.bias,38989998080,10240,2560,torch.float32
model.decoder.layers.21.self_attn.v_proj.weight,38990008320,26214400,2560x2560,torch.float32
model.decoder.layers.21.self_attn.v_proj.bias,39016222720,10240,2560,torch.float32
model.decoder.layers.21.self_attn.q_proj.weight,39016232960,26214400,2560x2560,torch.float32
model.decoder.layers.21.self_attn.q_proj.bias,39042447360,10240,2560,torch.float32
model.decoder.layers.21.self_attn.out_proj.weight,39042457600,26214400,2560x2560,torch.float32
model.decoder.layers.21.self_attn.out_proj.bias,39068672000,10240,2560,torch.float32
model.decoder.layers.21.self_attn_layer_norm.weight,39068682240,10240,2560,torch.float32
model.decoder.layers.21.self_attn_layer_norm.bias,39068692480,10240,2560,torch.float32
model.decoder.layers.21.fc1.weight,39068702720,104857600,10240x2560,torch.float32
model.decoder.layers.21.fc1.bias,39173560320,40960,10240,torch.float32
model.decoder.layers.21.fc2.weight,39173601280,104857600,2560x10240,torch.float32
model.decoder.layers.21.fc2.bias,39278458880,10240,2560,torch.float32
model.decoder.layers.21.final_layer_norm.weight,39278469120,10240,2560,torch.float32
model.decoder.layers.21.final_layer_norm.bias,39278479360,10240,2560,torch.float32
model.decoder.layers.22.self_attn.k_proj.weight,39278489600,26214400,2560x2560,torch.float32
model.decoder.layers.22.self_attn.k_proj.bias,39304704000,10240,2560,torch.float32
model.decoder.layers.22.self_attn.v_proj.weight,39304714240,26214400,2560x2560,torch.float32
model.decoder.layers.22.self_attn.v_proj.bias,39330928640,10240,2560,torch.float32
model.decoder.layers.22.self_attn.q_proj.weight,39330938880,26214400,2560x2560,torch.float32
model.decoder.layers.22.self_attn.q_proj.bias,39357153280,10240,2560,torch.float32
model.decoder.layers.22.self_attn.out_proj.weight,39357163520,26214400,2560x2560,torch.float32
model.decoder.layers.22.self_attn.out_proj.bias,39383377920,10240,2560,torch.float32
