Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5615,1.16,1788521719867475.070	,1788521719867476.230	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5616,9.8,1788521719867476.250	,1788521719867486.050	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5617,3.24,1788521719867486.070	,1788521719867489.310	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5618,15.2,1788521719867489.330	,1788521719867504.530	
2,AddN55,KERNEL_AIVEC,2,5619,10.42,1788521719867504.550	,1788521719867514.970	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5620,7.6,1788521719867515.010	,1788521719867522.610	
2,LayerNormGrad53/LayerNormXBackpropV3,KERNEL_AIVEC,2,5621,32.9,1788521719867522.650	,1788521719867555.550	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2_MemSet,KERNEL_AIVEC,2,5622,12.98,1788521719867555.570	,1788521719867568.550	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2,KERNEL_AIVEC,2,5623,21.68,1788521719867568.590	,1788521719867590.270	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5624,7.66,1788521719867590.290	,1788521719867597.950	
2,AddN54,KERNEL_AIVEC,2,5625,11.38,1788521719867597.970	,1788521719867609.350	
2,DropOutDoMask12,KERNEL_AIVEC,2,5626,8.26,1788521719867609.370	,1788521719867617.630	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5627,14.58,1788521719867617.650	,1788521719867632.230	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5628,1.26,1788521719867632.250	,1788521719867633.510	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5629,38.0,1788521719867633.530	,1788521719867671.530	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5630,9.34,1788521719867671.550	,1788521719867680.890	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5631,30.16,1788521719867680.930	,1788521719867711.090	
2,aclnnGeluBackward_GeluGradAiCore_GeluGrad,KERNEL_AIVEC,2,5632,49.2,1788521719867711.110	,1788521719867760.310	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5633,19.18,1788521719867760.330	,1788521719867779.510	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5634,1.24,1788521719867779.530	,1788521719867780.770	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5635,28.24,1788521719867780.790	,1788521719867809.030	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5636,5.16,1788521719867809.050	,1788521719867814.210	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5637,37.0,1788521719867814.230	,1788521719867851.230	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5638,3.44,1788521719867851.270	,1788521719867854.710	
2,LayerNormGrad53/LayerNormXBackpropV3,KERNEL_AIVEC,2,5639,33.24,1788521719867854.730	,1788521719867887.970	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2_MemSet,KERNEL_AIVEC,2,5640,11.94,1788521719867887.990	,1788521719867899.930	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2,KERNEL_AIVEC,2,5641,22.96,1788521719867899.950	,1788521719867922.910	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5642,7.58,1788521719867922.930	,1788521719867930.510	
2,AddN54,KERNEL_AIVEC,2,5643,9.5,1788521719867930.530	,1788521719867940.030	
2,DropOutDoMask12,KERNEL_AIVEC,2,5644,7.88,1788521719867940.050	,1788521719867947.930	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5645,12.64,1788521719867947.950	,1788521719867960.590	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5646,1.28,1788521719867960.610	,1788521719867961.890	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5647,16.06,1788521719867961.930	,1788521719867977.990	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5648,25.28,1788521719867978.010	,1788521719868003.290	
